print_ref,deck_label,band_color,owner_table,title,counterparty,amount,vat,format_note,body_lines,qr_payload,card_id
CARD-019,INVOICE,#F07A00,T-04,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-4B31885264,RED-T04-V1
CARD-020,INVOICE,#F07A00,T-04,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-C2E18F0A57,RED-T04-V2
CARD-021,INVOICE,#F07A00,T-04,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-D36B9F183F,RED-T04-V3
CARD-022,INVOICE,#F07A00,T-04,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-BE9E482EB9,RED-T04-V4
CARD-023,INVOICE,#F07A00,T-04,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-E4062AA54B,RED-T04-V5
CARD-024,INVOICE,#F07A00,T-04,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-03782D9A9C,RED-T04-V6
CARD-025,INVOICE,#F07A00,T-05,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-04BF24C543,RED-T05-V1
CARD-026,INVOICE,#F07A00,T-05,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-AAD67A3C9A,RED-T05-V2
CARD-027,INVOICE,#F07A00,T-05,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-7ED06C63BC,RED-T05-V3
CARD-028,INVOICE,#F07A00,T-05,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-435F7C1796,RED-T05-V4
CARD-029,INVOICE,#F07A00,T-05,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-C9DEE3A79E,RED-T05-V5
CARD-030,INVOICE,#F07A00,T-05,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-8BD8AF69E0,RED-T05-V6
CARD-031,INVOICE,#F07A00,T-06,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-FE5F3F3A77,RED-T06-V1
CARD-032,INVOICE,#F07A00,T-06,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-1960AD42DD,RED-T06-V2
CARD-033,INVOICE,#F07A00,T-06,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-B6A25FEB81,RED-T06-V3
CARD-034,INVOICE,#F07A00,T-06,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-06DAFEF0A7,RED-T06-V4
CARD-035,INVOICE,#F07A00,T-06,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-9435441D44,RED-T06-V5
CARD-036,INVOICE,#F07A00,T-06,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-E6F5221F9E,RED-T06-V6
CARD-037,INVOICE,#F07A00,T-07,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-9942ABB4F7,RED-T07-V1
CARD-038,INVOICE,#F07A00,T-07,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-95F1B7D21A,RED-T07-V2
CARD-039,INVOICE,#F07A00,T-07,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-8036615B9A,RED-T07-V3
CARD-040,INVOICE,#F07A00,T-07,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-B323E5FBB1,RED-T07-V4
CARD-041,INVOICE,#F07A00,T-07,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-D4BF3304DD,RED-T07-V5
CARD-042,INVOICE,#F07A00,T-07,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-2FC2E7CB33,RED-T07-V6
CARD-043,INVOICE,#F07A00,T-08,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-04746E36AA,RED-T08-V1
CARD-044,INVOICE,#F07A00,T-08,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-B33329D23C,RED-T08-V2
CARD-045,INVOICE,#F07A00,T-08,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-34788B157F,RED-T08-V3
CARD-046,INVOICE,#F07A00,T-08,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-AC1133920D,RED-T08-V4
CARD-047,INVOICE,#F07A00,T-08,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-03B118BE7C,RED-T08-V5
CARD-048,INVOICE,#F07A00,T-08,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-656BDBA0DF,RED-T08-V6
CARD-049,INVOICE,#F07A00,T-09,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-E2DCBC444F,RED-T09-V1
CARD-050,INVOICE,#F07A00,T-09,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-68D855C6D0,RED-T09-V2
CARD-051,INVOICE,#F07A00,T-09,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-BF9E34060A,RED-T09-V3
CARD-052,INVOICE,#F07A00,T-09,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-46C2B39D37,RED-T09-V4
CARD-053,INVOICE,#F07A00,T-09,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-85727B1C0F,RED-T09-V5
CARD-054,INVOICE,#F07A00,T-09,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-9B78C23AA0,RED-T09-V6
CARD-055,INVOICE,#F07A00,T-10,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100234567800003; Buyer TRN: 100987654300003; Issued: 04 Jan 2027; Transmitted: 04 Jan 2027,KP5C-CC9FDC5AA8,RED-T10-V1
CARD-056,INVOICE,#F07A00,T-10,FREE ZONE B2B SUPPLY,Nakheel Free Zone Trading Co,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),Free Zone: JAFZA; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003; Zone code: BT-ZONE populated,KP5C-38A878AFCF,RED-T10-V2
CARD-057,INVOICE,#F07A00,T-10,B2G GOVERNMENT SUPPLY,Dubai Municipality (Government),"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),Buyer: Government entity; Purchase order ref: PO-2026-11842; Issued: 12 Feb 2027; Transmitted: 12 Feb 2027,KP5C-49B406EF1A,RED-T10-V3
CARD-058,INVOICE,#F07A00,T-10,E-CREDIT NOTE,Gulf Distributors LLC,"- AED 92,400.00 (credit)","- AED 4,400.00 @ 5%",PINT AE 1.0 (XML),References original invoice: INV-2026-09311; Reason code: goods returned; Issued: 03 Mar 2027,KP5C-7F88F97772,RED-T10-V4
CARD-059,INVOICE,#F07A00,T-10,EXPORT SUPPLY — ZERO RATED,Al Masaoud Exports (Free Zone),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),Zero-rate justification: EXPORT; Export evidence ref: EXD-2027-0041; Supplier TRN: 100234567800003,KP5C-C69C290812,RED-T10-V5
CARD-060,INVOICE,#F07A00,T-10,SELF-BILLED SUPPLY,Emirates Facilities Group,"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),Self-billing agreement ref: SBA-2026-0117; Document type: self-billed invoice; Supplier TRN: 100445566700003; Buyer TRN: 100987654300003,KP5C-025EB294BA,RED-T10-V6
CARD-061,INVOICE,#F07A00,T-01,FACILITIES MANAGEMENT INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%",PDF attachment,Attachment: invoice_final_v3_signed.pdf; File type: PDF (scanned); Sent via: email attachment,KP5C-72058B8568,RED-T01-X1
CARD-062,INVOICE,#F07A00,T-01,OFFICE FIT-OUT INVOICE,Urban Fit-Out Contracting LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100445566700003; Buyer TRN: —; Issued: 19 Feb 2027; Transmitted: 19 Feb 2027,KP5C-DCF6164ABD,RED-T01-X2
CARD-063,INVOICE,#F07A00,T-01,IT SERVICES INVOICE,Nexus Cloud Services LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),XML payload: PINT AE 1.0; Supplier ASP: —; Buyer ASP: —; FTA reporting: —,KP5C-8274F073B5,RED-T01-X3
CARD-064,INVOICE,#F07A00,T-01,ENTITY COMPLIANCE RECORD,Ras Al Khaimah Holdings,"Entity revenue: AED 71,400,000",—,—,"Entity revenue: AED 71,400,000; ASP appointment deadline: 30 Oct 2026; Appointment status: —; Mandatory go-live: 01 Jan 2027",KP5C-43F556E54A,RED-T01-X4
CARD-065,INVOICE,#F07A00,T-02,OFFICE FIT-OUT INVOICE,Urban Fit-Out Contracting LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100445566700003; Buyer TRN: —; Issued: 19 Feb 2027; Transmitted: 19 Feb 2027,KP5C-A4FDD4032E,RED-T02-X2
CARD-066,INVOICE,#F07A00,T-02,IT SERVICES INVOICE,Nexus Cloud Services LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),XML payload: PINT AE 1.0; Supplier ASP: —; Buyer ASP: —; FTA reporting: —,KP5C-DE7F7B97D9,RED-T02-X3
CARD-067,INVOICE,#F07A00,T-02,ENTITY COMPLIANCE RECORD,Ras Al Khaimah Holdings,"Entity revenue: AED 71,400,000",—,—,"Entity revenue: AED 71,400,000; ASP appointment deadline: 30 Oct 2026; Appointment status: —; Mandatory go-live: 01 Jan 2027",KP5C-4C42A8B91C,RED-T02-X4
CARD-068,INVOICE,#F07A00,T-02,WAREHOUSE SUPPLY INVOICE,DMCC Free Zone Trading DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF document,Free Zone: DMCC; Buyer: mainland UAE company; Document stamp: “E-INVOICING EXEMPT”; Basis for exemption: —,KP5C-01EC5D0ECF,RED-T02-X5
CARD-069,INVOICE,#F07A00,T-03,IT SERVICES INVOICE,Nexus Cloud Services LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),XML payload: PINT AE 1.0; Supplier ASP: —; Buyer ASP: —; FTA reporting: —,KP5C-28642A2071,RED-T03-X3
CARD-070,INVOICE,#F07A00,T-03,ENTITY COMPLIANCE RECORD,Ras Al Khaimah Holdings,"Entity revenue: AED 71,400,000",—,—,"Entity revenue: AED 71,400,000; ASP appointment deadline: 30 Oct 2026; Appointment status: —; Mandatory go-live: 01 Jan 2027",KP5C-42008ED78C,RED-T03-X4
CARD-071,INVOICE,#F07A00,T-03,WAREHOUSE SUPPLY INVOICE,DMCC Free Zone Trading DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF document,Free Zone: DMCC; Buyer: mainland UAE company; Document stamp: “E-INVOICING EXEMPT”; Basis for exemption: —,KP5C-0F20443C4A,RED-T03-X5
CARD-072,INVOICE,#F07A00,T-03,RETAIL SALE RECEIPT,Retail walk-in customer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Buyer: individual consumer; Buyer TRN: none; Transaction class: B2C retail; Peppol network: n/a,KP5C-21E1748143,RED-T03-X6
CARD-073,INVOICE,#F07A00,T-04,ENTITY COMPLIANCE RECORD,Ras Al Khaimah Holdings,"Entity revenue: AED 71,400,000",—,—,"Entity revenue: AED 71,400,000; ASP appointment deadline: 30 Oct 2026; Appointment status: —; Mandatory go-live: 01 Jan 2027",KP5C-D9ED7AA22E,RED-T04-X4
CARD-074,INVOICE,#F07A00,T-04,WAREHOUSE SUPPLY INVOICE,DMCC Free Zone Trading DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF document,Free Zone: DMCC; Buyer: mainland UAE company; Document stamp: “E-INVOICING EXEMPT”; Basis for exemption: —,KP5C-7D74F18B76,RED-T04-X5
CARD-075,INVOICE,#F07A00,T-04,RETAIL SALE RECEIPT,Retail walk-in customer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Buyer: individual consumer; Buyer TRN: none; Transaction class: B2C retail; Peppol network: n/a,KP5C-3AD3ABC596,RED-T04-X6
CARD-076,INVOICE,#F07A00,T-04,FACILITIES MANAGEMENT INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%",PDF attachment,Attachment: invoice_final_v3_signed.pdf; File type: PDF (scanned); Sent via: email attachment,KP5C-6BE6D8AE05,RED-T04-X1
CARD-077,INVOICE,#F07A00,T-05,WAREHOUSE SUPPLY INVOICE,DMCC Free Zone Trading DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF document,Free Zone: DMCC; Buyer: mainland UAE company; Document stamp: “E-INVOICING EXEMPT”; Basis for exemption: —,KP5C-A7995FE888,RED-T05-X5
CARD-078,INVOICE,#F07A00,T-05,RETAIL SALE RECEIPT,Retail walk-in customer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Buyer: individual consumer; Buyer TRN: none; Transaction class: B2C retail; Peppol network: n/a,KP5C-83BA6BA24A,RED-T05-X6
CARD-079,INVOICE,#F07A00,T-05,FACILITIES MANAGEMENT INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%",PDF attachment,Attachment: invoice_final_v3_signed.pdf; File type: PDF (scanned); Sent via: email attachment,KP5C-E58FB43714,RED-T05-X1
CARD-080,INVOICE,#F07A00,T-05,OFFICE FIT-OUT INVOICE,Urban Fit-Out Contracting LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100445566700003; Buyer TRN: —; Issued: 19 Feb 2027; Transmitted: 19 Feb 2027,KP5C-D5327C26A5,RED-T05-X2
CARD-081,INVOICE,#F07A00,T-06,RETAIL SALE RECEIPT,Retail walk-in customer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Buyer: individual consumer; Buyer TRN: none; Transaction class: B2C retail; Peppol network: n/a,KP5C-8B6E1E6D49,RED-T06-X6
CARD-082,INVOICE,#F07A00,T-06,FACILITIES MANAGEMENT INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%",PDF attachment,Attachment: invoice_final_v3_signed.pdf; File type: PDF (scanned); Sent via: email attachment,KP5C-063C1E500F,RED-T06-X1
CARD-083,INVOICE,#F07A00,T-06,OFFICE FIT-OUT INVOICE,Urban Fit-Out Contracting LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100445566700003; Buyer TRN: —; Issued: 19 Feb 2027; Transmitted: 19 Feb 2027,KP5C-7B627BC068,RED-T06-X2
